group,model,feature_set,fold,best_inner_auc,best_params
adults,RF,top10,26,0.7947388440885219,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,27,0.8294572102237848,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,top10,28,0.7947613217813494,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,29,0.7981088509403427,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,30,0.7908316785100854,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,31,0.7992160323306732,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,32,0.828760537387379,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,33,0.77137396060048,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,top10,34,0.8478404556615882,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,35,0.7924444723477873,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,36,0.8162407531422264,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,top10,37,0.8000886318680979,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,38,0.8354138763323845,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,top10,39,0.7767610497237568,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,top10,40,0.7971865291961976,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,top10,41,0.8152806262440241,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,42,0.8308033527416584,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,top10,43,0.7900622244544896,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,44,0.8409509459233216,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,45,0.7382556961573995,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,46,0.8052051942072661,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
adults,RF,top10,47,0.8081346576569873,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,48,0.8029003780902952,"{""clf__class_weight"": null, ""clf__max_depth"": null}"
adults,RF,top10,49,0.80103259808025,"{""clf__class_weight"": null, ""clf__max_depth"": 5}"
